"accurate","feedbackType","cumulativeScore","timestamp","ratio","trend","anomalyScore","userId"
"true","accurate","0.0","2025-06-13T12:06:17.331Z","1.000","0.000","0.0","2A423E62-6452-48C8-9ECE-255BF2C2FD03"
"true","accurate","0.0","2025-06-13T08:53:28.324Z","1.000","-0.091","0.0","2A423E62-6452-48C8-9ECE-255BF2C2FD03"
"true","accurate","0.0","2025-06-13T09:03:25.750Z","1.000","-0.286","0.0","2A423E62-6452-48C8-9ECE-255BF2C2FD03"
